Idioma,Age:,Education:,Country,Do you have experience or work with GIS (Geographic Information System)?,What is your level of fluency in English:,"Active mappers are those who make changes to the platform at least 42 days a year. Do you consider yourself an active mapper? (If you have any questions, you can check at https://hdyc.neis-one.org/).",How long have you been involved in the OSM community?,How often do you visit and use OSM.org?,How did you learn about OpenStreetMap:,What do you use OSM data for?,What is your main involvement with OpenStreetMap?,I use OSM.org...,How often do you use GPS navigation apps?,Which of these definitions do you think best describes OSM?,How often do you write a note in OSM?,How often do you use notes to map or close them in OSM?,Do you use tools to export OSM data?,How often do you use export tools?,Which of these GPS navigation apps do you use most in your day-to-day life?,What formats do you usually download map data in:,Which of these export tools do you use most often?,General,Search (Nominatim),Historic and Changeset,Login,Notes,Profile,Messages,Diary,Settings,Navigation and routing in OSM.org,Help tab,About tab,Export directly in OSM.org,Carto (Default view),GPS Tracks,Search results (Nominatim):,Viewing the search results:,History:,Visualization of the Changest:,Navigating the OpenStreetMap website:,Tags:,Get information about POIs (Point of Interest):,Communication and finding the mappers on the website:,Corporate and bot profiles should be easy to recognize:,would like to see statistics on my profile and other users:,"Other open address data sources (e.g., OpenAddress) could be integrated into the search bar."
English (United Kingdom)‎,Under 18 years old,High School,Germany,I have little or no experience with GIS,Intermediary,Yes,Less than 1 year,More than once a day,Application that uses OSM data,I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To edit;To check the history of edits and comments,More than once a day,Geographic database,1 time a month,1 time a week,No,,Organic Maps;Google Maps;Apple Maps,,,4,2,2,4,3,5,1,3,3,2,2,4,3,4,2,Imprecise,Neutral - Neither confusing nor clear,Confusing,Clear,Simple,Simple,Complicated,Neutral - Neither complicated nor simple,More or less agree,Strongly agree,More or less agree
English (United Kingdom)‎,18-24 years old,High School,Switzerland,I am a GIS student,Advanced,Yes,Less than 1 year,1 time per day,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time per day,Wikipedia of maps,1 time a month,1 time a month,No,,Google Maps;Organic Maps,,,4,3,2,4,4,5,5,4,,2,,,,4,4,Precise,Neutral - Neither confusing nor clear,Clear,Very confusing,Simple,Complicated,Complicated,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,More or less agree
Deutsch,35-44 years old,Master's Degree,Germany,Working with GIS,Advanced,Yes,More than 10 years,1 time per day,Event or speech,I use it for work;I use it for navigation/GPS;Doing QA QC of the data for the project,Hobbyist/community;Government,To see the rendered data;To edit;To check the history of edits and comments,2 times per week,Wikipedia of maps,1 time a month,1 time a month,Yes,1 time a week,Organic Maps,GeoJSON / JSON / XML;.OSM / .PBF,Overpass Turbo;GeoFabrik,5,5,5,5,4,5,4,4,4,3,,,,5,,Precise,Clear,Clear,Clear,Simple,Simple,Simple,Simple,Strongly agree,More or less agree,Strongly disagree
English (United Kingdom)‎,45-54 years old,Doctorate/PhD,Taiwan,I have no experience with GIS or work,Advanced,Yes,5 to 10 years,1 time a month ,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To edit;To see the rendered data,1 time a week,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,No,,Organic Maps;Google Maps,,,3,3,2,3,2,2,2,2,3,2,4,1,1,4,2,Precise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Complicated,Complicated,Neutral - Neither complicated nor simple,Strongly agree,Neither agree nor disagree,More or less agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Peru,Working with GIS,Intermediary,No,1 to 5 years,2 times per week,Other,I use it for navigation/GPS;I use it for work,Humanitarian;Hobbyist/community;YouthMappers,To edit;To see the rendered data;Share locations,1 time per day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Organic Maps;Google Maps;OSMAnd,,,4,4,4,3,,4,,5,3,,3,3,4,4,4,Very imprecise,Clear,Very clear,Neutral - Neither confusing nor clear,Complicated,Complicated,Simple,Simple,Strongly agree,Strongly agree,Strongly agree
Deutsch,35-44 years old,Master's Degree,Germany,I have little or no experience with GIS,Advanced,Yes,More than 10 years,2 times per week,Web Search,I use it for navigation/GPS;Private recherche,Hobbyist/community,To edit;Add and edit Notes;To upload GPS traces,More than once a day,Collaborative map,1 time a month,1 time a month,No,,mapy.cz,,,3,4,2,5,3,2,,,,,,,,3,4,Precise,Neutral - Neither confusing nor clear,Confusing,Very confusing,Neutral - Neither complicated nor simple,Complicated,Very Complicated,Simple,More or less agree,More or less agree,More or less disagree
"Español (España, alfabetización internacional)",25-34 years old,Undergraduate or Bachelor's degree,Colombia,I have little or no experience with GIS,Intermediary,Yes,1 to 5 years,1 time a week,Through a friend or family member,I use it for navigation/GPS,Humanitarian;Hobbyist/community;Government,To upload GPS traces;To see the rendered data,2 times per week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Organic Maps;Waze;Google Maps,,,5,4,5,5,5,4,4,4,4,5,4,4,4,4,4,Imprecise,Clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Simple,Complicated,Simple,Strongly disagree,More or less agree,More or less agree
"Español (España, alfabetización internacional)",45-54 years old,Undergraduate or Bachelor's degree,Venezuela,I have little or no experience with GIS,Intermediary,No,1 to 5 years,1 time a month ,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community,To see the rendered data;To edit,2 times per week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Waze;Google Maps,,,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,Precise,Clear,Clear,Clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neither agree nor disagree,Neither agree nor disagree,More or less agree
Français (France),18-24 years old,Undergraduate or Bachelor's degree,France,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,1 time a month ,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data,2 times per week,Geographic database,1 time a week,I can't remember or I don't use it,No,,OSMAnd;brouter,,,3,4,4,5,4,5,4,5,4,2,3,,,,4,Neutral - Neither imprecise nor precise,Clear,,Clear,Simple,Simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,
English (United Kingdom)‎,55-64 years old,Master's Degree,Bolivia,Working with GIS,Advanced,Yes,5 to 10 years,More than once a day,Web Search,I use it for navigation/GPS;I use it for work,Humanitarian,To upload GPS traces;To edit;To check the history of edits and comments,More than once a day,Collaborative map,More than once a day,More than once a day,Yes,2 times per week,Organic Maps;OSMAnd;Apple Maps,.OSM / .PBF;JPG / PNG;GeoJSON / JSON / XML,Directly in OSM.org;Overpass Turbo;GeoFabrik,4,3,5,5,4,4,3,3,5,5,4,4,4,4,5,Neutral - Neither imprecise nor precise,,Neutral - Neither confusing nor clear,Confusing,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Complicated,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,35-44 years old,Master's Degree,Colombia,I have no experience with GIS or work,Advanced,Yes,More than 10 years,2 times per week,Web Search,I use it for navigation/GPS,Humanitarian;Hobbyist/community,Read diary entries;Add and edit Notes;To check the history of edits and comments,2 times per week,Wikipedia of maps,1 time a week,2 times per week,Yes,1 time per day,Waze;OSMAnd,GeoJSON / JSON / XML;.OSM / .PBF;JPG / PNG,Directly in OSM.org;Overpass Turbo;APIs and/or Plugins,5,4,4,5,4,3,3,3,3,4,3,4,4,4,3,Precise,Clear,Clear,Clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Very Simple,Complicated,More or less disagree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,45-54 years old,Master's Degree,United States,Working with GIS,Native,Yes,5 to 10 years,1 time a week,Application that uses OSM data,I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,More than once a day,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,Google Maps;Apple Maps;OSMAnd;Waze,GeoJSON / JSON / XML,Overpass Turbo,4,4,5,5,5,4,,3,,,,,,3,4,Precise,Clear,Clear,Very Clear,Simple,Complicated,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,25-34 years old,High School,Peru,I have little or no experience with GIS,Advanced,No,1 to 5 years,2 times per week,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,1 time per day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps;Waze;OSMAnd,,,4,3,3,5,3,4,4,4,4,3,4,4,3,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Confusing,Confusing,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Neither agree nor disagree
English (United Kingdom)‎,18-24 years old,High School,Belgium,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community,Add and edit Notes;To see the rendered data;To edit,1 time per day,Geographic database,More than once a day,1 time per day,Yes,1 time a week,Organic Maps;OSMAnd;Google Maps;Waze,JPG / PNG,Overpass Turbo;APIs and/or Plugins,5,3,4,5,5,5,,5,5,4,5,5,4,4,5,Imprecise,Confusing,Clear,Very Clear,Neutral - Neither complicated nor simple,Simple,Simple,Simple,Strongly agree,Neither agree nor disagree,More or less agree
"Español (España, alfabetización internacional)",35-44 years old,Undergraduate or Bachelor's degree,Argentina,I have little or no experience with GIS,Basic,Yes,5 to 10 years,1 time per day,Event or speech,I use it for navigation/GPS;I use it for work,Hobbyist/community;Humanitarian;Government,To edit;Add and edit Notes;To see the rendered data,2 times per week,Collaborative map,2 times per week,2 times per week,Yes,1 time a month,OSMAnd;Organic Maps,GeoJSON / JSON / XML,Overpass Turbo,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neither agree nor disagree,Strongly agree,More or less agree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,Spain,I have no experience with GIS or work,Advanced,Yes,1 to 5 years,1 time a week,Web Search,I use it for navigation/GPS,Humanitarian;Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time per day,Collaborative map,2 times per week,2 times per week,No,,Google Maps;Organic Maps;OSMAnd,,,4,5,4,5,2,5,4,5,5,4,,,,4,5,Precise,Neutral - Neither confusing nor clear,Clear,Clear,Simple,Neutral - Neither complicated nor simple,Very Complicated,Complicated,Strongly agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Kazakhstan,Working with GIS,Advanced,No,1 to 5 years,1 time a week,Application that uses OSM data,I use it for work;I use it academically (school or college),Humanitarian;Corporate (work);Hobbyist/community,To see the rendered data;To edit,More than once a day,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a week,Yandex Maps;2Gis,GeoJSON / JSON / XML,Overpass Turbo,4,4,4,4,,4,4,5,5,3,3,3,,,,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Neutral - Neither complicated nor simple,More or less agree,Strongly agree,Strongly agree
English (United Kingdom)‎,35-44 years old,Doctorate/PhD,Mexico,Working with GIS,Advanced,Yes,More than 10 years,1 time per day,Web Search,I use it for work,Humanitarian;Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time per day,Collaborative map,1 time a month,1 time a month,Yes,1 time a month,Organic Maps;Google Maps,Shapefile;GeoJSON / JSON / XML,Overpass Turbo;GeoFabrik;BBBike,4,4,4,5,5,5,4,4,4,4,3,3,3,3,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Clear,Very Simple,Simple,Simple,Simple,Strongly agree,Strongly agree,Strongly agree
Deutsch,25-34 years old,Master's Degree,Germany,I have no experience with GIS or work,Advanced,Yes,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community;Dev,To see the rendered data;To edit;Add and edit Notes,2 times per week,Wikipedia of maps,1 time a month,1 time a month,No,,Organic Maps,,,3,4,4,5,3,3,4,4,4,5,,,5,5,4,Precise,Clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Simple,Complicated,Neutral - Neither complicated nor simple,More or less agree,More or less agree,More or less disagree
English (United Kingdom)‎,18-24 years old,High School,Canada,I have no experience with GIS or work,Native,Yes,1 to 5 years,2 times per week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To edit;To upload GPS traces;To see the rendered data,2 times per week,Wikipedia of maps,1 time a month,1 time a week,No,,Organic Maps;Apple Maps;Transit App,,,4,4,2,5,5,5,4,,5,4,,5,,5,4,Precise,Clear,Very clear,Confusing,Simple,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,More or less agree,Neither agree nor disagree
Français (France),18-24 years old,Undergraduate or Bachelor's degree,France,I have no experience with GIS or work,Advanced,Yes,5 to 10 years,2 times per week,Web Search,I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community;Dev,To edit;To see the rendered data,1 time a month,Wikipedia of maps,I can't remember or I don't use it,2 times per week,Yes,1 time a month,Waze;Apple Maps;Google Maps;Organic Maps,Shapefile,Overpass Turbo;APIs and/or Plugins,5,4,5,5,3,2,5,4,5,5,4,5,5,2,4,Very precise,Very clear,Clear,Clear,,,,,Strongly agree,Strongly agree,Neither agree nor disagree
"Español (España, alfabetización internacional)",35-44 years old,Undergraduate or Bachelor's degree,Bolivia,Working with GIS,Intermediary,Yes,5 to 10 years,1 time per day,"Social Media (Facebook, X (Twitter), Instagram)",I use it for work,Hobbyist/community;YouthMappers;Humanitarian,To edit;Read diary entries;Add and edit Notes,More than once a day,Geographic database,2 times per week,2 times per week,Yes,2 times per week,Organic Maps;Maps.me,GeoJSON / JSON / XML,Overpass Turbo;JOSM,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,Very imprecise,Clear,Clear,Clear,Simple,Simple,Simple,Simple,More or less agree,More or less agree,More or less agree
"Español (España, alfabetización internacional)",45-54 years old,Undergraduate or Bachelor's degree,Colombia,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,1 time a month ,Web Search,I use it for navigation/GPS,Hobbyist/community,To edit,2 times per week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Maps.me,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Precise,Very clear,Clear,Very Clear,Very Simple,Very Simple,Very Simple,Very Simple,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,35-44 years old,Master's Degree,Israel,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,2 times per week,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To upload GPS traces;To edit,1 time a week,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps,,,4,3,4,4,4,4,3,3,3,3,3,3,3,4,5,Precise,Neutral - Neither confusing nor clear,Confusing,Confusing,Simple,Complicated,Simple,Neutral - Neither complicated nor simple,More or less disagree,More or less agree,More or less agree
